Nome;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal;(vazio);Total Geral
ANDERSON;4267;1279;8640;905;17906;1802;1024;8217;4095;13622;7122;7751;22285;7778;5195;32194;38723;7080;49577;122095;32566;20034;32163;7246;7514;6945;5225;;473250
CAMILA;3925;1131;5956;770;14537;1376;2524;10843;4986;15719;4946;6983;16312;4895;3844;28965;51591;7820;40587;131739;29493;17474;30370;6674;7143;13678;7278;;471559
RICARDO;2456;1013;6460;763;11610;838;2895;11035;4545;13791;5657;6938;20143;5403;3724;26401;44450;6777;49043;145710;24576;16906;26900;5069;5510;13734;7356;;469703
MARCIO;3313;1167;6811;852;17190;1487;2188;11065;4000;12711;4969;5214;14021;5251;4235;25749;54413;7743;53726;117198;30799;19676;31436;6450;7229;13377;5776;;468046
AMANDA;3715;1221;6441;874;16455;1507;3087;10985;5276;14861;6491;8519;21143;5927;3743;26265;50086;9002;40372;117049;31807;16862;24419;6079;7595;18229;8422;;466432
JORGE;2582;1354;7511;590;17483;1367;1431;9147;3579;11088;4190;4250;13936;5066;4831;37314;35373;9204;115461;79214;21584;12351;44323;5578;5001;7859;4282;;465949
BRUNA;3435;1256;6384;805;12833;1269;2096;9118;4194;12363;4309;5163;14949;4656;3598;21684;47923;7774;39670;130290;33931;22776;39005;6405;6942;14102;6618;;463548
SEBASTIAO;4883;3215;8929;914;15100;1092;3906;13944;5803;15197;8233;10928;18251;6930;783;13347;97642;14566;41347;86566;28984;10013;5203;7144;9824;25472;4289;;462505
JESSICA;3662;957;7683;1005;16075;1366;1779;10343;4204;12818;7144;7946;19574;7565;4587;26754;47749;7911;43384;117393;29846;16284;27510;6953;6698;14422;6672;;458284
ALEXANDRE;2635;1207;6814;783;12408;1169;1542;6296;3045;12317;5155;6261;19096;5098;3219;17614;44126;6879;61395;128151;23677;16925;31666;5025;5139;10017;6438;;444097
ROBERTO;2949;980;5996;738;13226;962;1996;7318;3169;14432;5076;6872;18458;5228;3949;29736;42311;7774;54157;122742;23449;13715;24075;5891;5833;10862;5394;;437288
LETICIA;3560;1014;5608;856;12338;1080;2631;10583;4465;14156;5467;5694;15520;5419;4024;22270;47535;7828;40675;123409;26943;16647;23883;6035;6431;14079;7478;;435628
JULIA;2298;788;4411;567;8142;821;1934;6856;3158;9508;5204;5018;14940;4742;2934;22699;49415;9101;48182;128014;24489;17190;31499;5157;5647;11540;7588;;431842
EDSON;3618;874;5290;753;14602;1070;2112;9034;3401;8861;5580;6792;22142;6435;4254;34786;42717;7282;35014;118532;30042;18190;19338;6635;7310;11912;4967;;431543
LUCIANA;3107;1138;5411;643;11672;740;2684;10015;4789;12154;5062;8196;19344;6670;3937;27967;51030;8931;50248;113049;19592;11968;21074;5297;6525;13221;6937;;431401
DIEGO;3498;1205;7419;874;15043;1414;2278;10817;4444;13132;4975;6728;15826;4818;4474;27476;42992;6975;37850;108791;25681;16436;31112;5874;6283;12314;5699;;424428
VITOR;3682;1192;6152;812;12585;1217;2677;8798;3966;11416;4039;4315;12915;4938;4039;23072;54015;7297;41370;116164;24996;13903;24913;5744;7761;14820;6105;;422903
VANESSA;3603;1476;6411;749;14325;1231;2376;11709;4669;11954;4896;6832;16256;6494;3891;28434;38253;5828;41810;110581;26805;15471;26205;5613;6175;11323;5468;;418838
SERGIO;2700;749;4621;519;9539;697;1508;5629;2462;8039;3510;4320;14901;3736;2918;18646;39037;6536;56280;116470;28663;17276;32266;5138;5242;8985;4604;;404991
MARIANA;1747;765;2379;517;6076;477;1929;9631;4348;12491;4565;5720;13679;5819;3265;22990;45713;7675;46187;109896;20080;9618;18089;4579;5090;12901;7161;;383387
GABRIELA;2004;772;4302;520;8741;914;2316;5178;2769;8962;3302;3983;12887;3423;2389;18659;43072;6833;34923;119593;21264;16821;28034;4707;4774;13114;7394;;381650
VERA;1944;423;2538;353;6647;501;1023;4166;2446;9870;3978;5345;12075;4578;2928;18535;37566;6440;49029;107101;24287;11366;43765;4245;4347;7673;3789;;376958
