uf	33									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
ALESSANDRA		18	26	66	399	13254	11195	4492	2123	31573
ROGERIO	36	154	501	2152	7792	12146	5542	2000	792	31115
LUCIANO	56	135	342	785	2436	13958	8523	3158	1696	31089
MARLENE	31	3591	7779	9650	6378	2591	719	182	76	30997
MARCO	20	98	762	3007	9665	8985	3936	2575	1901	30949
ANGELA	137	252	1741	11649	8023	5309	2424	828	445	30808
VINICIUS		30	53	142	408	1815	8266	11832	7827	30373
CAIO		24	43	78	182	422	2135	8797	18542	30223
LUANA			26	68	164	760	10324	11846	6827	30015
DEBORA	41	115	196	526	1828	4985	9355	8050	4237	29333
FLAVIO	75	246	662	1508	3813	10157	7604	3152	2001	29218
DOUGLAS		38	83	193	469	1744	7285	14867	4530	29209
IGOR			27	58	155	651	5433	14619	8264	29207
FLAVIA	23	37	98	257	1150	10921	10367	4161	2087	29101
JAQUELINE			30	133	2513	8674	11347	4921	1221	28839
