uf	31									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
LUCIA	263	839	2491	8395	11771	6762	2389	509	223	33642
ANGELA	120	271	1068	7626	9612	7910	4211	1911	801	33530
CARLA			23	152	2107	7390	11367	8168	4256	33463
ROGERIO	25	89	358	1957	6565	11049	8974	3231	971	33219
ISABELA	24	34	38	58	185	563	3074	12645	16417	33038
RAQUEL	62	140	329	901	2556	6616	10710	7508	3790	32612
FLAVIA	18	34	63	183	1200	8063	12700	6876	3130	32267
FLAVIO	42	148	479	1141	3292	8925	10185	4993	2726	31931
VICENTE	1173	3548	6006	8172	7676	3040	1317	534	250	31716
DOUGLAS		16	53	115	331	1520	9806	14572	4794	31207
